0	0.0924	3.002969
10	0.093	2.852521
20	0.0978	2.748706
30	0.1032	2.674451
40	0.1138	2.596572
50	0.1221	2.536931
60	0.1305	2.477031
70	0.1402	2.424722
80	0.1508	2.380306
90	0.1618	2.339056
100	0.1729	2.300536
110	0.183	2.268482
120	0.1952	2.235965
130	0.2066	2.204163
140	0.2182	2.176572
150	0.2294	2.150241
160	0.2419	2.121387
170	0.2558	2.092553
180	0.2667	2.065320
190	0.2799	2.037618
200	0.2918	2.013582
210	0.3043	1.989145
220	0.3158	1.966307
230	0.3279	1.941963
240	0.3411	1.919949
250	0.3528	1.897903
260	0.3647	1.874956
270	0.3736	1.853767
280	0.385	1.834375
290	0.3932	1.815053
300	0.402	1.797088
310	0.4101	1.778757
320	0.4193	1.759720
330	0.4302	1.740261
340	0.4361	1.722776
350	0.4437	1.705294
360	0.4534	1.687252
370	0.4632	1.669759
380	0.4742	1.652164
390	0.4821	1.637063
400	0.4896	1.620713
410	0.4957	1.606484
420	0.5029	1.590864
430	0.5107	1.575493
440	0.5158	1.561518
450	0.5252	1.546473
460	0.5313	1.532769
470	0.5376	1.518206
480	0.5426	1.504408
490	0.5485	1.490738
500	0.5554	1.477582
510	0.5612	1.465104
520	0.5678	1.451507
530	0.5732	1.438977
540	0.5779	1.426825
550	0.5843	1.414488
560	0.5899	1.402437
570	0.5945	1.390258
580	0.6008	1.378618
590	0.606	1.367135
600	0.6098	1.355815
610	0.6157	1.344155
620	0.618	1.333925
630	0.6218	1.324244
640	0.6256	1.314094
650	0.6289	1.304101
660	0.6322	1.294186
670	0.6372	1.284091
680	0.64	1.274954
690	0.6431	1.265967
700	0.647	1.256793
710	0.6505	1.247949
720	0.6528	1.239233
730	0.6563	1.230592
740	0.6592	1.222475
750	0.663	1.214225
760	0.6646	1.206168
770	0.6673	1.197845
780	0.6722	1.190135
790	0.6752	1.182336
800	0.6781	1.174815
810	0.681	1.167566
820	0.6822	1.160079
830	0.6849	1.152848
840	0.6881	1.145684
850	0.6902	1.138619
860	0.6909	1.131830
870	0.6928	1.124965
880	0.6957	1.118379
890	0.6965	1.112206
900	0.6992	1.105823
910	0.701	1.099794
920	0.7039	1.093568
930	0.7049	1.087316
940	0.7071	1.081036
950	0.7097	1.075068
960	0.7117	1.069632
970	0.7136	1.063476
980	0.7152	1.057647
990	0.7168	1.052235
